questionLabel,questionText,QID
QF3_2,"Using data from the COVID tracker daily reports from the past five weeks (starting with the week ending Saturday March 28, through the week ending Saturday April 25), we have seen 1710, 6389, 12027, 13708, and 13788 new deaths reported each week in the US.

 

Assign probabilities to the following dates, according to when you expect to see the weekly new reported deaths (as calculated using new reported deaths from Sunday through Saturday) first fall below 5,000. - On Saturday May 16 or May 23",10
QF3_3,"Using data from the COVID tracker daily reports from the past five weeks (starting with the week ending Saturday March 28, through the week ending Saturday April 25), we have seen 1710, 6389, 12027, 13708, and 13788 new deaths reported each week in the US.

 

Assign probabilities to the following dates, according to when you expect to see the weekly new reported deaths (as calculated using new reported deaths from Sunday through Saturday) first fall below 5,000. - On Saturday May 30 or June 6",11
QF3_4,"Using data from the COVID tracker daily reports from the past five weeks (starting with the week ending Saturday March 28, through the week ending Saturday April 25), we have seen 1710, 6389, 12027, 13708, and 13788 new deaths reported each week in the US.

 

Assign probabilities to the following dates, according to when you expect to see the weekly new reported deaths (as calculated using new reported deaths from Sunday through Saturday) first fall below 5,000. - On Saturday June 6 or June 13",12
QF3_5,"Using data from the COVID tracker daily reports from the past five weeks (starting with the week ending Saturday March 28, through the week ending Saturday April 25), we have seen 1710, 6389, 12027, 13708, and 13788 new deaths reported each week in the US.

 

Assign probabilities to the following dates, according to when you expect to see the weekly new reported deaths (as calculated using new reported deaths from Sunday through Saturday) first fall below 5,000. - After June 20th",13
QF4_1,"https://dhpexternal.dph.ga.gov/ncovreps/daily_rolling_deaths.png


 

Over the last week, stay-at-home restrictions in Georgia have been lifted and some businesses have reopened. Since April 11, Georgia has reported a rolling 7-day average of just under 700 new confirmed cases per day (see figure above). 



With the knowledge that restrictions may be tightened again or further loosened over the next few weeks, how many new COVID-19 cases per day should Georgia expect to see on average during the time-period of May 10-16? Please report a 10th, 50th and 90th percentile. - 10th percentile",14
QF4_2,"https://dhpexternal.dph.ga.gov/ncovreps/daily_rolling_deaths.png


 

Over the last week, stay-at-home restrictions in Georgia have been lifted and some businesses have reopened. Since April 11, Georgia has reported a rolling 7-day average of just under 700 new confirmed cases per day (see figure above). 



With the knowledge that restrictions may be tightened again or further loosened over the next few weeks, how many new COVID-19 cases per day should Georgia expect to see on average during the time-period of May 10-16? Please report a 10th, 50th and 90th percentile. - 50th percentile (median)",15
QF4_3,"https://dhpexternal.dph.ga.gov/ncovreps/daily_rolling_deaths.png


 

Over the last week, stay-at-home restrictions in Georgia have been lifted and some businesses have reopened. Since April 11, Georgia has reported a rolling 7-day average of just under 700 new confirmed cases per day (see figure above). 



With the knowledge that restrictions may be tightened again or further loosened over the next few weeks, how many new COVID-19 cases per day should Georgia expect to see on average during the time-period of May 10-16? Please report a 10th, 50th and 90th percentile. - 90th percentile",16
QF5_1,"Assuming that the restrictions had NOT been loosened and the stay-at-home order had remained in place and businesses remained closed, how many new cases would you have expected Georgia to see per day on average over the time period of May 10-16? Please report a 10th, 50th and 90th percentile. - 10th percentile",17
QF5_2,"Assuming that the restrictions had NOT been loosened and the stay-at-home order had remained in place and businesses remained closed, how many new cases would you have expected Georgia to see per day on average over the time period of May 10-16? Please report a 10th, 50th and 90th percentile. - 50th percentile (median)",18
QF5_3,"Assuming that the restrictions had NOT been loosened and the stay-at-home order had remained in place and businesses remained closed, how many new cases would you have expected Georgia to see per day on average over the time period of May 10-16? Please report a 10th, 50th and 90th percentile. - 90th percentile",19
QF6,"Did you find any of the questions above ambiguous or hard to interpret? If so, please explain here. You may also use this space to provide other feedback.",20
