questionType,answer,expertID,QID,questionLabel
probCat,0,19,5,QF1_5
probCat,959560,19,6,QF2_1
probCat,11508692,19,7,QF2_2
probCat,14365840,19,8,QF2_3
probCat,0.05,19,9,QF3_1
probCat,0.3,19,10,QF3_2
probCat,0.3,19,11,QF3_3
probCat,0.25,19,12,QF3_4
probCat,0.1,19,13,QF3_5
probCat,1000,19,14,QF4_1
probCat,1400,19,15,QF4_2
probCat,3000,19,16,QF4_3
probCat,500,19,17,QF5_1
probCat,700,19,18,QF5_2
probCat,900,19,19,QF5_3
comments,,19,20,QF6
masthead,I agree,23,0,Q0-1
probCat,0,23,1,QF1_1
probCat,0.1,23,2,QF1_2
probCat,0.2,23,3,QF1_3
probCat,0.3,23,4,QF1_4
probCat,0.4,23,5,QF1_5
probCat,1100000,23,6,QF2_1
probCat,4000000,23,7,QF2_2
probCat,8000000,23,8,QF2_3
probCat,0,23,9,QF3_1
probCat,0,23,10,QF3_2
probCat,0.2,23,11,QF3_3
probCat,0.3,23,12,QF3_4
probCat,0.5,23,13,QF3_5
probCat,642,23,14,QF4_1
probCat,1000,23,15,QF4_2
probCat,1571,23,16,QF4_3
probCat,142,23,17,QF5_1
probCat,642,23,18,QF5_2
probCat,1000,23,19,QF5_3
comments,,23,20,QF6
masthead,I agree,24,0,Q0-1
probCat,0.1,24,1,QF1_1
probCat,0.2,24,2,QF1_2
probCat,0.3,24,3,QF1_3
probCat,0.2,24,4,QF1_4
probCat,0.2,24,5,QF1_5
probCat,1500000,24,6,QF2_1
probCat,10000000,24,7,QF2_2
probCat,50000000,24,8,QF2_3
probCat,0.1,24,9,QF3_1
probCat,0.1,24,10,QF3_2
probCat,0.1,24,11,QF3_3
probCat,0.1,24,12,QF3_4
probCat,0.6,24,13,QF3_5
probCat,300,24,14,QF4_1
probCat,700,24,15,QF4_2
probCat,1500,24,16,QF4_3
probCat,100,24,17,QF5_1
probCat,400,24,18,QF5_2
probCat,800,24,19,QF5_3
comments,questions were ok but the GA DH data you show does not agree with data from covidtracking (or any of the 4 sources I have on my tracker https://shiny.ovpr.uga.edu/yact/) i'm not sure how much i believe the GA DH data and when you see how well our predictions do will you check with GA DH data or covidtracking?,24,20,QF6
masthead,I agree,27,0,Q0-1
probCat,0.2,27,1,QF1_1
probCat,0.3,27,2,QF1_2
probCat,0.25,27,3,QF1_3
probCat,0.2,27,4,QF1_4
probCat,0.05,27,5,QF1_5
probCat,8000000,27,6,QF2_1
probCat,12000000,27,7,QF2_2
probCat,30000000,27,8,QF2_3
probCat,0.05,27,9,QF3_1
probCat,0.1,27,10,QF3_2
probCat,0.375,27,11,QF3_3
probCat,0.275,27,12,QF3_4
probCat,0.2,27,13,QF3_5
probCat,1000,27,14,QF4_1
probCat,1500,27,15,QF4_2
probCat,3000,27,16,QF4_3
probCat,500,27,17,QF5_1
probCat,700,27,18,QF5_2
probCat,1200,27,19,QF5_3
comments,,27,20,QF6
masthead,I agree,28,0,Q0-1
probCat,0.01,28,1,QF1_1
probCat,0.01,28,2,QF1_2
probCat,0.2,28,3,QF1_3
probCat,0.55,28,4,QF1_4
probCat,0.23,28,5,QF1_5
probCat,5000000,28,6,QF2_1
probCat,10000000,28,7,QF2_2
probCat,35000000,28,8,QF2_3
probCat,0.02,28,9,QF3_1
probCat,0.05,28,10,QF3_2
probCat,0.15,28,11,QF3_3
probCat,0.2,28,12,QF3_4
probCat,0.58,28,13,QF3_5
probCat,500,28,14,QF4_1
probCat,850,28,15,QF4_2
probCat,1200,28,16,QF4_3
probCat,300,28,17,QF5_1
probCat,550,28,18,QF5_2
probCat,850,28,19,QF5_3
comments,,28,20,QF6
masthead,I agree,29,0,Q0-1
probCat,0,29,1,QF1_1
probCat,0.2,29,2,QF1_2
probCat,0.6,29,3,QF1_3
probCat,0.2,29,4,QF1_4
probCat,0,29,5,QF1_5
probCat,8000000,29,6,QF2_1
probCat,12000000,29,7,QF2_2
probCat,18000000,29,8,QF2_3
probCat,0,29,9,QF3_1
probCat,0.2,29,10,QF3_2
probCat,0.3,29,11,QF3_3
probCat,0.3,29,12,QF3_4
probCat,0.2,29,13,QF3_5
probCat,714,29,14,QF4_1
probCat,1000,29,15,QF4_2
probCat,1200,29,16,QF4_3
probCat,500,29,17,QF5_1
probCat,642,29,18,QF5_2
probCat,785,29,19,QF5_3
comments,,29,20,QF6
masthead,I agree,33,0,Q0-1
probCat,0.01,33,1,QF1_1
probCat,0.04,33,2,QF1_2
probCat,0.2,33,3,QF1_3
probCat,0.35,33,4,QF1_4
probCat,0.4,33,5,QF1_5
probCat,4795000,33,6,QF2_1
probCat,9590000,33,7,QF2_2
probCat,19180000,33,8,QF2_3
probCat,0.01,33,9,QF3_1
probCat,0.15,33,10,QF3_2
probCat,0.35,33,11,QF3_3
probCat,0.35,33,12,QF3_4
probCat,0.14,33,13,QF3_5
probCat,500,33,14,QF4_1
probCat,600,33,15,QF4_2
probCat,800,33,16,QF4_3
probCat,400,33,17,QF5_1
probCat,550,33,18,QF5_2
probCat,720,33,19,QF5_3
comments,,33,20,QF6
masthead,I agree,40,0,Q0-1
probCat,0.03,40,1,QF1_1
probCat,0.1,40,2,QF1_2
probCat,0.35,40,3,QF1_3
probCat,0.37,40,4,QF1_4
probCat,0.15,40,5,QF1_5
probCat,5000000,40,6,QF2_1
probCat,18000000,40,7,QF2_2
probCat,35000000,40,8,QF2_3
probCat,0.05,40,9,QF3_1
probCat,0.2,40,10,QF3_2
probCat,0.2,40,11,QF3_3
probCat,0.2,40,12,QF3_4
probCat,0.35,40,13,QF3_5
probCat,400,40,14,QF4_1
probCat,1100,40,15,QF4_2
probCat,2500,40,16,QF4_3
probCat,100,40,17,QF5_1
probCat,250,40,18,QF5_2
probCat,400,40,19,QF5_3
comments,,40,20,QF6
