questionLabel,questionText,QID
QF2_3,"How many US states, territories and jurisdictions  (50 states plus District of Columbia, Guam, the Northern Mariana Islands, Puerto Rico, and the U.S Virgin Islands.) will report more new COVID-19 cases for September 2020 than for June 2020? - Between 12 and 19",10
QF2_4,"How many US states, territories and jurisdictions  (50 states plus District of Columbia, Guam, the Northern Mariana Islands, Puerto Rico, and the U.S Virgin Islands.) will report more new COVID-19 cases for September 2020 than for June 2020? - Between 20 and 27",11
QF2_5,"How many US states, territories and jurisdictions  (50 states plus District of Columbia, Guam, the Northern Mariana Islands, Puerto Rico, and the U.S Virgin Islands.) will report more new COVID-19 cases for September 2020 than for June 2020? - Between 28 and 35",12
QF2_6,"How many US states, territories and jurisdictions  (50 states plus District of Columbia, Guam, the Northern Mariana Islands, Puerto Rico, and the U.S Virgin Islands.) will report more new COVID-19 cases for September 2020 than for June 2020? - Between 36 and 43",13
QF2_7,"How many US states, territories and jurisdictions  (50 states plus District of Columbia, Guam, the Northern Mariana Islands, Puerto Rico, and the U.S Virgin Islands.) will report more new COVID-19 cases for September 2020 than for June 2020? - 44 or more",14
QF3_1,"On 1 May 2020, Texas lifted its stay-at-home restrictions and began allowing some businesses to reopen so long as they follow a minimum standard health protocol set by the state and limit their occupancy (link: https://dshs.texas.gov/coronavirus/).

 

What will the 7 day average number of new positive cases of COVID-19 be in Texas (figure above generated from data reported by the Texas Dept. of Health) for the week ending June 13th 2020, as reported by the Texas Dept. of Health?



Assign a probability to each bin corresponding to your belief of the average number of new positive cases per day in Texas - Less than 675",15
QF3_2,"On 1 May 2020, Texas lifted its stay-at-home restrictions and began allowing some businesses to reopen so long as they follow a minimum standard health protocol set by the state and limit their occupancy (link: https://dshs.texas.gov/coronavirus/).

 

What will the 7 day average number of new positive cases of COVID-19 be in Texas (figure above generated from data reported by the Texas Dept. of Health) for the week ending June 13th 2020, as reported by the Texas Dept. of Health?



Assign a probability to each bin corresponding to your belief of the average number of new positive cases per day in Texas - Between 675 and 900, inclusive",16
QF3_3,"On 1 May 2020, Texas lifted its stay-at-home restrictions and began allowing some businesses to reopen so long as they follow a minimum standard health protocol set by the state and limit their occupancy (link: https://dshs.texas.gov/coronavirus/).

 

What will the 7 day average number of new positive cases of COVID-19 be in Texas (figure above generated from data reported by the Texas Dept. of Health) for the week ending June 13th 2020, as reported by the Texas Dept. of Health?



Assign a probability to each bin corresponding to your belief of the average number of new positive cases per day in Texas - More than 900 but less than 1,350",17
QF3_4,"On 1 May 2020, Texas lifted its stay-at-home restrictions and began allowing some businesses to reopen so long as they follow a minimum standard health protocol set by the state and limit their occupancy (link: https://dshs.texas.gov/coronavirus/).

 

What will the 7 day average number of new positive cases of COVID-19 be in Texas (figure above generated from data reported by the Texas Dept. of Health) for the week ending June 13th 2020, as reported by the Texas Dept. of Health?



Assign a probability to each bin corresponding to your belief of the average number of new positive cases per day in Texas - Between 1,350 and 1,800, inclusive",18
QF3_5,"On 1 May 2020, Texas lifted its stay-at-home restrictions and began allowing some businesses to reopen so long as they follow a minimum standard health protocol set by the state and limit their occupancy (link: https://dshs.texas.gov/coronavirus/).

 

What will the 7 day average number of new positive cases of COVID-19 be in Texas (figure above generated from data reported by the Texas Dept. of Health) for the week ending June 13th 2020, as reported by the Texas Dept. of Health?



Assign a probability to each bin corresponding to your belief of the average number of new positive cases per day in Texas - More than 1,800",19
QF4_1,"Assuming restrictions had NOT been loosened and the stay-at-home order had remained in place and businesses remained closed, what is the 7 day average number of new positive cases of COVID-19 in Texas you would have expected to see for the week ending June 13th 2020?
Assign a probability to each bin corresponding to your belief of the average number of new positive cases per day in Texas - Less than 675",20
QF4_2,"Assuming restrictions had NOT been loosened and the stay-at-home order had remained in place and businesses remained closed, what is the 7 day average number of new positive cases of COVID-19 in Texas you would have expected to see for the week ending June 13th 2020?
Assign a probability to each bin corresponding to your belief of the average number of new positive cases per day in Texas - Between 675 and 900, inclusive",21
QF4_3,"Assuming restrictions had NOT been loosened and the stay-at-home order had remained in place and businesses remained closed, what is the 7 day average number of new positive cases of COVID-19 in Texas you would have expected to see for the week ending June 13th 2020?
Assign a probability to each bin corresponding to your belief of the average number of new positive cases per day in Texas - More than 900 but less than 1,350",22
QF4_4,"Assuming restrictions had NOT been loosened and the stay-at-home order had remained in place and businesses remained closed, what is the 7 day average number of new positive cases of COVID-19 in Texas you would have expected to see for the week ending June 13th 2020?
Assign a probability to each bin corresponding to your belief of the average number of new positive cases per day in Texas - Between 1,350 and 1,800, inclusive",23
QF4_5,"Assuming restrictions had NOT been loosened and the stay-at-home order had remained in place and businesses remained closed, what is the 7 day average number of new positive cases of COVID-19 in Texas you would have expected to see for the week ending June 13th 2020?
Assign a probability to each bin corresponding to your belief of the average number of new positive cases per day in Texas - More than 1,800",24
QF5_1,"As of Sunday, May 3, 2020, 61,868 deaths from COVID-19 have been reported in the US in 2020. How many deaths due to COVID-19 will occur in the US in 2020? Please report a 10th, 50th and 90th percentile, in other words a 80% confidence interval and a median. - 10th percentile",25
QF5_2,"As of Sunday, May 3, 2020, 61,868 deaths from COVID-19 have been reported in the US in 2020. How many deaths due to COVID-19 will occur in the US in 2020? Please report a 10th, 50th and 90th percentile, in other words a 80% confidence interval and a median. - 50th percentile (median)",26
QF5_3,"As of Sunday, May 3, 2020, 61,868 deaths from COVID-19 have been reported in the US in 2020. How many deaths due to COVID-19 will occur in the US in 2020? Please report a 10th, 50th and 90th percentile, in other words a 80% confidence interval and a median. - 90th percentile",27
QF6,"Did you find any of the questions above ambiguous or hard to interpret? If so, please explain here. You may also use this space to provide other feedback.",28
