questionType,answer,expertID,QID,questionLabel
probCat,0.02,26,6,QF1_6
probCat,0.02,26,7,QF1_7
percentile_10_50_90__low,5500,26,8,QF2_1
percentile_10_50_90__mode,7300,26,9,QF2_2
percentile_10_50_90__high,9000,26,10,QF2_3
percentile_10_50_90__low,50,26,11,QF3_1
percentile_10_50_90__mode,190,26,12,QF3_2
percentile_10_50_90__high,400,26,13,QF3_3
percentile_10_50_90__low,250,26,14,QF4_1
percentile_10_50_90__mode,500,26,15,QF4_2
percentile_10_50_90__high,900,26,16,QF4_3
informedconset,I agree,28,0,Q0-1
probCat,0.1,28,1,QF1_1
probCat,0.4,28,2,QF1_2
probCat,0.4,28,3,QF1_3
probCat,0.05,28,4,QF1_4
probCat,0.03,28,5,QF1_5
probCat,0.02,28,6,QF1_6
probCat,0,28,7,QF1_7
percentile_10_50_90__low,5000,28,8,QF2_1
percentile_10_50_90__mode,7500,28,9,QF2_2
percentile_10_50_90__high,10000,28,10,QF2_3
percentile_10_50_90__low,100,28,11,QF3_1
percentile_10_50_90__mode,250,28,12,QF3_2
percentile_10_50_90__high,500,28,13,QF3_3
percentile_10_50_90__low,200,28,14,QF4_1
percentile_10_50_90__mode,400,28,15,QF4_2
percentile_10_50_90__high,1000,28,16,QF4_3
informedconset,I agree,30,0,Q0-1
probCat,0,30,1,QF1_1
probCat,0.05,30,2,QF1_2
probCat,0.2,30,3,QF1_3
probCat,0.3,30,4,QF1_4
probCat,0.3,30,5,QF1_5
probCat,0.1,30,6,QF1_6
probCat,0.05,30,7,QF1_7
percentile_10_50_90__low,4500,30,8,QF2_1
percentile_10_50_90__mode,5500,30,9,QF2_2
percentile_10_50_90__high,7200,30,10,QF2_3
percentile_10_50_90__low,100,30,11,QF3_1
percentile_10_50_90__mode,190,30,12,QF3_2
percentile_10_50_90__high,400,30,13,QF3_3
percentile_10_50_90__low,110,30,14,QF4_1
percentile_10_50_90__mode,220,30,15,QF4_2
percentile_10_50_90__high,450,30,16,QF4_3
informedconset,I agree,32,0,Q0-1
probCat,0,32,1,QF1_1
probCat,0.4,32,2,QF1_2
probCat,0.3,32,3,QF1_3
probCat,0.2,32,4,QF1_4
probCat,0.1,32,5,QF1_5
probCat,0,32,6,QF1_6
probCat,0,32,7,QF1_7
percentile_10_50_90__low,4500,32,8,QF2_1
percentile_10_50_90__mode,6000,32,9,QF2_2
percentile_10_50_90__high,7500,32,10,QF2_3
percentile_10_50_90__low,100,32,11,QF3_1
percentile_10_50_90__mode,300,32,12,QF3_2
percentile_10_50_90__high,500,32,13,QF3_3
percentile_10_50_90__low,100,32,14,QF4_1
percentile_10_50_90__mode,400,32,15,QF4_2
percentile_10_50_90__high,600,32,16,QF4_3
informedconset,I agree,33,0,Q0-1
probCat,0.05,33,1,QF1_1
probCat,0.15,33,2,QF1_2
probCat,0.45,33,3,QF1_3
probCat,0.25,33,4,QF1_4
probCat,0.08,33,5,QF1_5
probCat,0.01,33,6,QF1_6
probCat,0.01,33,7,QF1_7
percentile_10_50_90__low,6000,33,8,QF2_1
percentile_10_50_90__mode,7500,33,9,QF2_2
percentile_10_50_90__high,10000,33,10,QF2_3
percentile_10_50_90__low,125,33,11,QF3_1
percentile_10_50_90__mode,180,33,12,QF3_2
percentile_10_50_90__high,250,33,13,QF3_3
percentile_10_50_90__low,150,33,14,QF4_1
percentile_10_50_90__mode,200,33,15,QF4_2
percentile_10_50_90__high,350,33,16,QF4_3
informedconset,I agree,34,0,Q0-1
probCat,0,34,1,QF1_1
probCat,0,34,2,QF1_2
probCat,0,34,3,QF1_3
probCat,0.5,34,4,QF1_4
probCat,0.4,34,5,QF1_5
probCat,0.1,34,6,QF1_6
probCat,0,34,7,QF1_7
percentile_10_50_90__low,7000,34,8,QF2_1
percentile_10_50_90__mode,9000,34,9,QF2_2
percentile_10_50_90__high,15000,34,10,QF2_3
percentile_10_50_90__low,250,34,11,QF3_1
percentile_10_50_90__mode,300,34,12,QF3_2
percentile_10_50_90__high,400,34,13,QF3_3
percentile_10_50_90__low,250,34,14,QF4_1
percentile_10_50_90__mode,400,34,15,QF4_2
percentile_10_50_90__high,750,34,16,QF4_3
informedconset,I agree,40,0,Q0-1
probCat,0.01,40,1,QF1_1
probCat,0.03,40,2,QF1_2
probCat,0.06,40,3,QF1_3
probCat,0.28,40,4,QF1_4
probCat,0.32,40,5,QF1_5
probCat,0.2,40,6,QF1_6
probCat,0.1,40,7,QF1_7
percentile_10_50_90__low,4800,40,8,QF2_1
percentile_10_50_90__mode,5600,40,9,QF2_2
percentile_10_50_90__high,7800,40,10,QF2_3
percentile_10_50_90__low,100,40,11,QF3_1
percentile_10_50_90__mode,400,40,12,QF3_2
percentile_10_50_90__high,700,40,13,QF3_3
percentile_10_50_90__low,500,40,14,QF4_1
percentile_10_50_90__mode,1200,40,15,QF4_2
percentile_10_50_90__high,2000,40,16,QF4_3
